,price,year,mileage,price range
0,6300,2008,274117.0,Low price
1,2899,2011,190552.0,Low price
2,5350,2018,39590.0,Low price
3,25000,2014,64146.0,Middle price
4,27700,2018,6654.0,Middle price
5,5700,2018,45561.0,Low price
6,7300,2010,149050.0,Low price
7,13350,2017,23525.0,Middle price
8,14600,2018,9371.0,Middle price
9,5250,2017,63418.0,Low price
10,10400,2009,107856.0,Middle price
11,12920,2017,39650.0,Middle price
12,31900,2018,22909.0,High price
13,5430,2017,138650.0,Low price
14,20700,2013,100757.0,Middle price
15,12710,2017,25747.0,Middle price
16,5200,2018,46194.0,Low price
17,16500,2018,20002.0,Middle price
18,5210,2017,35714.0,Low price
19,38100,2013,54380.0,High price
20,12520,2017,30114.0,Middle price
21,7300,2018,38823.0,Low price
22,15000,2015,61578.0,Middle price
23,6180,2017,46010.0,Low price
24,20800,2013,105510.0,Middle price
25,11900,2017,28040.0,Middle price
26,21500,2020,11451.0,Middle price
27,12000,2014,31039.0,Middle price
28,4190,2017,44174.0,Low price
29,13000,2008,93698.0,Middle price
30,12710,2017,26364.0,Middle price
31,18500,2016,71967.0,Middle price
32,29800,1973,46226.0,Middle price
33,5330,2017,37792.0,Low price
34,13000,2003,58817.0,Middle price
35,11900,2017,27965.0,Middle price
36,16600,2016,110907.0,Middle price
37,19200,2018,2430.0,Middle price
38,7320,2017,32366.0,Low price
39,7000,2003,176567.0,Low price
40,12710,2017,30049.0,Middle price
41,16600,2016,97983.0,Middle price
42,30500,2018,30442.0,High price
43,6330,2017,38123.0,Low price
44,55000,2017,15273.0,High price
45,12520,2017,28972.0,Middle price
46,16200,2019,30061.0,Middle price
47,19000,2017,18414.0,Middle price
48,5580,2017,46829.0,Low price
49,54000,2017,26241.0,High price
50,12710,2017,39886.0,Middle price
51,16000,2019,31594.0,Middle price
52,27000,2017,32107.0,Middle price
53,7760,2017,44794.0,Low price
54,19600,2019,42648.0,Middle price
55,12920,2017,39165.0,Middle price
56,20000,2019,38355.0,Middle price
57,18100,2017,46766.0,Middle price
